OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,NAME,LEGAL_ACRES,DEDICATED,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ShapeSTArea,ShapeSTLength
378,3,91069005,Community Park,Laulani Community Park (future),3,9019,Laulani Community Park (future),15.60000038,,{3FDCDD43-A3F1-48AB-952F-411F08ECAF4F},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,636955.168373108,3225.29305796424
379,1,,Beach Park,Kapiolani Beach Park,1,452,Kapiolani Beach Park,7.05200005,,{C07FDFB9-4776-4BB5-87E9-77AE29804C6B},gmasaki,2016-09-06T07:35:47.000Z,gmasaki,2016-09-06T08:27:53.000Z,468026.336593628,4142.1778560956
380,1,,Beach Park,Kapiolani Park Beach Center,1,453,Kapiolani Park Beach Center,2.59,,{5A9C1ADC-2D8B-4751-94C1-5929D6DD0B57},gmasaki,2016-09-06T08:27:53.000Z,gmasaki,2016-09-06T09:27:03.000Z,113129.100391388,1361.8352342629
381,1,39028019,Beach ROW,Koko Kai,1,282,Koko Kai,0.60000002,,{80BF8587-D2AD-47FD-9396-123C683F0FCA},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,29308.6920967102,773.70421547146
382,1,23037001,Regional Park,Ala Moana Regional Park,2,36,Ala Moana Regional Park,119.18000031,,{3358AD03-8B46-4509-8FC7-FA7218B68DE9},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,4928096.94930267,18216.203983943
383,1,42016001,Neighborhood Park,Kawai Nui Neighborhood Park,4,200,Kawai Nui Neighborhood Park,4.84000015,,{2D97A0B3-EF8B-476E-A3AC-A1059F06C334},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,212331.119689941,2714.48183204913
384,1,84001001,Beach Park,Mauna Lahilahi Beach Park,3,156,Mauna Lahilahi Beach Park,8.73999977,,{E31025A4-B63D-4C6E-BB3D-F689B16BD241},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,511238.977706909,6436.68664864855
385,1,47011011,Regional Park,Kahaluu Regional Park,4,301,Kahaluu Regional Park,34.61000061,,{CA4B863B-1A25-41E9-97B9-9AF6925ADE90},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1802166.00746155,10546.6442344151
386,1,11012035,Neighborhood Park,Moanalua Valley Neighborhood Park,2,332,Moanalua Valley Neighborhood Park,2.8499999,,{841172BA-EAD5-4ABE-904A-41994A65D6C4},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,125206.015861511,1825.14145282024
387,1,21051006,Neighborhood Park,Mother Waldron Neighborhood Park,2,46,Mother Waldron Neighborhood Park,1.75999999,,{4BE67610-92E9-44CB-8D23-524B507DC775},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,64642.2924957275,1172.76725799236
