X,Y,objectid,name,own,tmk,type
-157.784040304499172,21.28104775956205,855,Wilson Community Park,City,35017012,community
-157.778687964265345,21.28096610046061,856,Aina Koa Neighborhood Park,City,35036014,neighborhood
-157.694398221267562,21.277017511630678,857,Koko Head Regional Park,City,39012001,district
-157.836922136215719,21.281530139581541,858,Paoa Place,Other,26008,road
-157.738313265717494,21.280428602682665,859,Kalanianaole Highway,Other,37025002,road
-157.837058919737785,21.281296206456602,860,Duke Paoa Kahanamoku Beach Park,State,26005006,beach
-157.767222296558884,21.280469177631936,861,Kamole Mini Park,City,35054025,mini
-157.830468025770358,21.280898160777845,862,Beach Walk Triangle,City,26003019,sq/ente/tri/prom
-157.757554588348654,21.278365407680166,863,Aina Haina Community Park,City,36011009,community
-157.744874072880492,21.279258148263001,864,Kawaikui Beach Park,City,36003001,beach
-157.745551963679191,21.279019295943385,865,Kawaikui Beach Park,City,36003002,beach
-157.81708962612683,21.277897942996873,866,Ala Wai Golf Course,State,27036078,golf course
-157.696581859661734,21.27769615510115,867,Koko Head Regional Park,City,39045012,district
-157.832454886405657,21.27814310986658,868,Kalia Road,Other,26004,road
-157.799917292760085,21.27824829744549,869,Puu O Kaimuki Mini Park,State,32036010,mini
-157.799387179410871,21.277804113141318,870,Puu O Kaimuki Mini Park,City,32036001,mini
-157.819152993322291,21.277652721804102,871,Ala Wai Golf Course,State,27036009,golf course
-157.768911699853078,21.277181961338748,872,Waialae Iki Neighborhood Park,City,35021001,neighborhood
-157.824582755298934,21.277381358288615,873,Princess Kaiulani Triangle,City,26023081,sq/ente/tri/prom
-157.80346299911082,21.275942829250511,874,Kapaolono Community Park,City,32025001,community
-157.760124434280073,21.27613270949934,875,Wailupe Beach Park,State,35022023,beach
-157.791434859052515,21.275897514979025,876,Petrie Community Park,City,32045002,community
-157.825926520514514,21.275965666149183,877,Kuhio Beach Park,State,26001015,beach
-157.822477122488294,21.275828619008461,878,Kuhio Avenue Mini Park,City,26024002,mini
-157.825879715259646,21.275791438214959,879,Kuhio Beach Park,Other,26001010,beach
-157.826035491576505,21.275821886123072,880,Kuhio Beach Park,City,26001018,beach
-157.825506423626535,21.275389085421871,881,Kuhio Beach Park,City,26001008,beach
-157.705303794821987,21.273456705067144,882,Koko Head Neighborhood Park,City,39022037,neighborhood
-157.824749319440514,21.274620438110457,883,Kuhio Beach Park,City,26001004,beach
-157.824071871108032,21.273608432609453,884,Kuhio Beach Park,City,26001003,beach
-157.692932260263518,21.268650139027081,885,Hanauma Bay Underwater Park,State,,
-157.784259066694034,21.272250382855301,886,Kahala Community Park,City,35011028,community
-157.823834020345828,21.273143786911525,887,Kuhio Beach Park,City,26001002,beach
-157.81732056964637,21.269213588215525,888,Kapiolani Regional Park,Other,31043000,regional/cultural
-157.697619560572093,21.271965576392279,889,doughnut,doughnut,39012006,null
-157.816360267777128,21.2711919884044,890,Kapiolani Regional Park,Other,31043000,regional/cultural
-157.697348837809102,21.272065109677936,891,doughnut,doughnut,39012009,null
-157.818903521589846,21.270884659357094,892,Kapiolani Regional Park,State,31043001,regional/cultural
