X,Y,objectid,feature_id,elev_in_m,elev_in_ft,map_name,feature_name,feature_class,state_alpha,state_numeric,county_name,county_numeric,primary_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec,date_created,date_edited
-155.866079378661425,19.306518716183707,3222,361546,500,1640,Puupohakuloa,Kukuiopaʻe Homesteads,Civil,HI,15,Hawaii,1,191823N,1555158W,19.3063889,-155.8661111,,,,,2003-09-30T00:00:00.000Z,
-155.876098317248761,20.223884802857043,3223,361547,155,509,Mahukona,Kukuipahu,Civil,HI,15,Hawaii,1,201326N,1555234W,20.2238889,-155.8761111,,,,,1981-02-06T00:00:00.000Z,2011-01-25T00:00:00.000Z
-156.827894746374284,21.168529487539583,3224,361548,0,0,Kamalo,Kukuipalaoa,Island,HI,15,Maui,9,211006N,1564941W,21.1684448,-156.8279457,,,,,2003-09-30T00:00:00.000Z,2012-07-30T00:00:00.000Z
-156.08440863745696,20.67090775157914,3225,361549,649,2129,Kaupo,Kukuiʻula,Civil,HI,15,Maui,9,204015N,1560504W,20.6708333,-156.0844444,,,,,2003-09-30T00:00:00.000Z,
-159.484488025501236,21.883489746769452,3226,361550,4,13,Koloa,Kukuiʻula,Populated Place,HI,15,Kauai,7,215300N,1592904W,21.8833923,-159.4844752,,,,,1981-02-06T00:00:00.000Z,2012-10-03T00:00:00.000Z
-159.490408554032882,21.884710489369454,3227,361551,0,0,Koloa,Kukuiʻula Bay,Bay,HI,15,Kauai,7,215304N,1592926W,21.884567,-159.490441,,,,,1981-02-06T00:00:00.000Z,2012-08-20T00:00:00.000Z
-156.076107956442712,20.650521838929869,3228,361552,7,23,Kipahulu,Kukuiʻula Gulch,Valley,HI,15,Maui,9,203902N,1560434W,20.650438,-156.07622,204034N,1560504W,20.676202,-156.084373,2003-09-30T00:00:00.000Z,2018-12-13T00:00:00.000Z
-156.078915466573392,20.66468210059498,3229,361553,439,1440,Kipahulu,Kukuiulaiki,Civil,HI,15,Maui,9,203953N,1560444W,20.6647222,-156.0788889,,,,,2003-09-30T00:00:00.000Z,
-155.784727400531352,20.217537452552993,3230,361554,188,617,Hawi,Kukuiwaluhia,Civil,HI,15,Hawaii,1,201303N,1554705W,20.2175,-155.7847222,,,,,1981-02-06T00:00:00.000Z,
-157.150219590850128,21.093517569224311,3231,361555,6,20,Molokai Airport,Kūkūkū Gulch,Valley,HI,15,Maui,9,210536N,1570901W,21.0933862,-157.1502765,210706N,1570856W,21.118232,-157.148831,2003-09-30T00:00:00.000Z,2016-10-20T00:00:00.000Z
-156.733838886643014,21.130932215163941,3232,361556,99,325,Halawa,Kukumamalu Gulch,Valley,HI,15,Maui,9,210751N,1564402W,21.1307886,-156.7338009,210812N,1564428W,21.136558,-156.741125,1981-02-06T00:00:00.000Z,2016-10-14T00:00:00.000Z
-154.834100600097287,19.518932497446453,3233,361557,37,121,Kapoho OE N,Kula,Civil,HI,15,Hawaii,1,193108N,1545003W,19.5188889,-154.8341667,,,,,1981-02-06T00:00:00.000Z,2011-01-25T00:00:00.000Z
-156.60028875997196,21.016919139611204,3234,361558,140,459,Napili,Kula o Kalalaoloa,Bench,HI,15,Maui,9,210100N,1563601W,21.016789,-156.6002618,,,,,1981-02-06T00:00:00.000Z,2015-02-06T00:00:00.000Z
-156.273314870844388,20.683908931853793,3235,361559,2309,7575,Lualailua Hills,Kula Forest Reserve,Forest,HI,15,Maui,9,204102N,1561624W,20.6838626,-156.2733078,,,,,2003-09-30T00:00:00.000Z,2012-09-27T00:00:00.000Z
-156.357483916063813,20.701486579587879,3236,361560,908,2979,Makena,Kula Hospital,Hospital,HI,15,Maui,9,204205N,1562127W,20.7014098,-156.3574777,,,,,2003-09-30T00:00:00.000Z,2018-06-25T00:00:00.000Z
-156.781018786595581,21.082897602323225,3237,361561,17,56,Halawa OE S,Kulaʻalamihi Fishpond,Reservoir,HI,15,Maui,9,210458N,1564652W,21.0827783,-156.7810553,,,,,2003-09-30T00:00:00.000Z,2012-11-14T00:00:00.000Z
-155.116574095863228,19.860115295148983,3238,361562,141,463,Papaikou,Kulaʻikahonu,Civil,HI,15,Hawaii,1,195136N,1550700W,19.86,-155.1166667,,,,,2003-09-30T00:00:00.000Z,
-155.102108236371265,19.832893928944216,3239,361563,140,459,Papaikou,Kulaʻimano Homesteads,Civil,HI,15,Hawaii,1,194958N,1550608W,19.8327778,-155.1022222,,,,,1981-02-06T00:00:00.000Z,2018-09-08T00:00:00.000Z
-159.56749336898207,22.209301367456344,3240,361564,609,1998,Haena,Kulanaililia,Summit,HI,15,Kauai,7,221233N,1593403W,22.2091667,-159.5675,,,,,1981-02-06T00:00:00.000Z,2009-08-19T00:00:00.000Z
-155.199705474499183,19.931098077428469,3241,361565,387,1270,Papaaloa,Kulanakiʻi,Civil,HI,15,Hawaii,1,195552N,1551159W,19.9311111,-155.1997222,,,,,2003-09-30T00:00:00.000Z,
-155.181395304015325,19.95069040634483,3242,361566,4,13,Papaaloa,Kulanakiʻi Stream,Stream,HI,15,Hawaii,1,195702N,1551053W,19.9506391,-155.1814771,195406N,1551353W,19.901538,-155.231323,2003-09-30T00:00:00.000Z,2013-03-26T00:00:00.000Z
-156.376405315008356,20.640083976740744,3243,361567,992,3255,Makena,Kulanapahu,Summit,HI,15,Maui,9,203824N,1562235W,20.6400535,-156.3764334,,,,,1981-02-06T00:00:00.000Z,2012-10-12T00:00:00.000Z
-155.299306924860076,19.520514334218667,3244,361568,1675,5495,Kulani,Kūlani,Summit,HI,15,Hawaii,1,193114N,1551758W,19.5204788,-155.2993441,,,,,2003-09-30T00:00:00.000Z,2013-02-28T00:00:00.000Z
-155.301199454903013,19.549322957271031,3245,361569,1580,5184,Kulani,Kulani Correctional Facility,Building,HI,15,Hawaii,1,193257N,1551804W,19.5491665,-155.3012295,,,,,2003-09-30T00:00:00.000Z,2018-10-05T00:00:00.000Z
-155.136469033017818,19.723519117783592,3246,361571,265,869,Piihonua,Kulaniapia Falls,Falls,HI,15,Hawaii,1,194324N,1550811W,19.7233855,-155.1364736,,,,,1981-02-06T00:00:00.000Z,2011-04-18T00:00:00.000Z
