objectid,name,own,tmk,type,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
204,Kaaawa Beach Park,City,51002025,beach, , ,1899-12-30T00:00:00.000Z,{6B85B466-78B6-4FF4-A4CD-CF5D011A4CB3},,,,2016-09-13T00:00:00.000Z,,,,5148.20441631699,0
219,Alahula Square,City,75012065,sq/ente/tri/prom, , ,1899-12-30T00:00:00.000Z,{55815A37-781D-46FD-8C5B-C638C08359F1},,,,2016-09-13T00:00:00.000Z,,,,1120.10798441509,0
205,Kaaawa Beach Park,City,51009028,beach, , ,1899-12-30T00:00:00.000Z,{C535A780-03AB-47E1-9983-7AE1AD4AC8D5},,,,2016-09-13T00:00:00.000Z,,,,1174.14456684063,0
206,Kaaawa Beach Park,City,51009027,beach, , ,1899-12-30T00:00:00.000Z,{B7C3E947-5100-43DA-9C73-6970FEA397E0},,,,2016-09-13T00:00:00.000Z,,,,819.775813295288,0
207,Kalaeoio Beach Park,City,51009009,beach, , ,1899-12-30T00:00:00.000Z,{60329CF1-D1AA-4E87-9C58-F836CD6DF6FD},,,,2016-09-13T00:00:00.000Z,,,,3287.03565377252,0
208,Kaena Point State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{C360BF0A-D7BE-4BCB-B63F-93767E9EAB52},,,,2016-09-13T00:00:00.000Z,,,,12392.1126135957,0
209,Kaena Point State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{667C0764-D7BE-46EB-910E-08F306A50084},,,,2016-09-13T00:00:00.000Z,,,,36877.9925573992,0
210,Kaena Point State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{A51B5689-0A0C-4F8F-965E-C7767FEEC69C},,,,2016-09-13T00:00:00.000Z,,,,24254.9106039358,0
211,Kaena Point State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{583EECC5-4186-4BA8-9216-6FA3590D1381},,,,2016-09-13T00:00:00.000Z,,,,108551.574715124,0
220,Kukaniloko Birthstones State Monument,State,,monument, , ,1899-12-30T00:00:00.000Z,{D27B5D7E-BFFD-431C-8357-28D2D359F3FB},,,,2016-09-13T00:00:00.000Z,,,,20201.4665277582,0
221,Keaau Beach Park,State,83001001,beach, , ,1899-12-30T00:00:00.000Z,{44E598C6-9067-47E7-BD7B-BEDAF12430D9},,,,2016-09-13T00:00:00.000Z,,,,198768.22835503,0
242,Waiahole/Waikane Nature Preserve,Other,48003015,nature pres/marsh, , ,1899-12-30T00:00:00.000Z,{2C543E38-82E9-42EE-B95B-CCA76F8B4F8A},,,,2016-09-13T00:00:00.000Z,,,,13477.3515201255,0
212,Kualoa Regional Park,City,49004001,regional/cultural, , ,1899-12-30T00:00:00.000Z,{C423BF38-CB85-4F05-9C6D-17C12E54A390},,,,2016-09-13T00:00:00.000Z,,,,612173.112675061,0
