objectid,ahupuaa,moku,mokupuni,other,gisacres,createdby,agency,publishdat,createdate,modifiedda,modifiedby,deliveryda,sourceid,severity,comments,st_areashape,st_lengthshape
80,Honoulimaloʻo,Kona,Molokaʻi, ,779.0357, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3152695.96178867,0
86,Honomuni,Kona,Molokaʻi, ,774.9778, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3136215.68561486,0
87,Kumimi,Kona,Molokaʻi, ,134.8502, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,545728.263754013,0
81,Lūpehu,Kona,Molokaʻi, ,495.6812, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2005980.67891185,0
82,Honouliwai,Kona,Molokaʻi, ,996.5904, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4033068.38335216,0
83,Moanui,Kona,Molokaʻi, ,672.8573, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2722952.95784818,0
84,Waialua,Kona,Molokaʻi, ,1484.125, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,6006027.9571281,0
514,Kou,Kohala,Hawaiʻi, ,502.5974, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2034013.00038287,0
95,Mapulehu,Kona,Molokaʻi, ,1786.396, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,7229266.2400054,0
96,Puna‘ula,Kona,Molokaʻi, ,291.0606, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1177877.01256842,0
97,Pūkoʻo 1,Kona,Molokaʻi, ,500.1817, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,2024157.9878488,0
98,Kūpeke,Kona,Molokaʻi, ,317.5739, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1285172.45037946,0
100,Kapulei,Kona,Molokaʻi, ,1983.958, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,8028758.60272082,0
101,Mākolelau,Kona,Molokaʻi, ,1576.031, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,6377937.33901247,0
102,‘Ïloli,Kona,Molokaʻi, ,107.0912, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,433380.744247469,0
103,Kamanoni,Kona,Molokaʻi, ,63.04929, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,255150.870905705,0
104,Puaʻahala,Kona,Molokaʻi, ,825.0931, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3339018.83102651,0
515,Honokāne,Kohala,Hawaiʻi, ,4702.200, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,19029354.5284405,0
111,Kalamaʻula,Kona,Molokaʻi, ,6991.064, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,28291624.8367215,0
114,Kamiloloa (Government),Kona,Molokaʻi, ,1481.021, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5993442.37773577,0
112,Kaunakakai,Kona,Molokaʻi, ,5310.344, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,21490050.7374376,0
113,Kawela,Kona,Molokaʻi, ,8115.320, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,32841348.7885108,0
115,Kapa‘akea,Kona,Molokaʻi, ,2181.205, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,8826964.21454347,0
116,Makakupa‘ia,Kona,Molokaʻi, ,1239.776, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5017167.29976058,0
117,Kamiloloa,Kona,Molokaʻi, ,2310.483, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,9350130.73447221,0
118,Makakupa‘ia,Kona,Molokaʻi, ,1412.480, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5716072.33962015,0
139,Waialeʻe,Koʻolauloa,Oʻahu, ,769.0811, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,3112348.46091527,0
119,Kalua‘aha,Kona,Molokaʻi, ,1449.876, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,5867419.61977898,0
